ERA1,ERA2,ERA3,ERA4,ERA5,ERA6,ERMakt
0.076696,0.05203,-0.050484,-0.060341,0.150067,-0.034832,0.000341
0.0431,-0.001042,0.194222,0.055352,0.131886,0.07746,0.068962
-0.050701,0.108021,-0.021584,-0.009744,0.051689,0.056426,0.046964
0.164397,-0.015543,-0.009475,0.111583,0.003043,0.076467,0.006922
-0.094624,-0.025083,0.070406,0.012116,-0.062752,-0.033267,-0.029561
-0.076215,0.086036,-0.074354,-0.026791,0.2739,0.008492,0.028035
-0.019112,-0.016471,0.078366,0.150102,0.010464,-0.019716,-0.027218
-0.207176,-0.10943,-0.193192,-0.152249,-0.131254,-0.066578,-0.161576
-0.078528,-0.005076,-0.059271,0.137597,0.143874,0.075917,0.060479
0.060685,0.096804,0.148521,0.152682,-0.041007,0.011199,0.071397
0.191194,0.029155,0.110047,0.109732,0.1486,0.049143,0.058284
