A1,A2,A3,A4,A5,A6,Mkt,risk free
0.080884,0.056218,-0.046296,-0.056153,0.154255,-0.030644,0.004529,0.004188
0.047368,0.003226,0.19849,0.05962,0.136154,0.081728,0.07323,0.004268
-0.046343,0.112379,-0.017226,-0.005386,0.056047,0.060784,0.051322,0.004358
0.168337,-0.011603,-0.005535,0.115523,0.006983,0.080407,0.010862,0.00394
-0.090818,-0.021277,0.074212,0.015922,-0.058946,-0.029461,-0.025755,0.003806
-0.072296,0.089955,-0.070435,-0.022872,0.277819,0.012411,0.031954,0.003919
-0.015158,-0.012517,0.08232,0.154056,0.014418,-0.015762,-0.023264,0.003954
-0.203267,-0.105521,-0.189283,-0.14834,-0.127345,-0.062669,-0.157667,0.003909
-0.075171,-0.001719,-0.055914,0.140954,0.147231,0.079274,0.063836,0.003357
0.063645,0.099764,0.151481,0.155642,-0.038047,0.014159,0.074357,0.00296
0.194896,0.032857,0.113749,0.113434,0.152302,0.052845,0.061986,0.003702
